scenario_id,scenario_type,test_user,repeat,device_familiar,network_location_consistent,access_time_consistent,expected_score,expected_risk,primary_credentials_valid,notes
S01-U01-R1,C01,test_user_01,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U01-R2,C01,test_user_01,2,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U01-R3,C01,test_user_01,3,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U02-R1,C01,test_user_02,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U02-R2,C01,test_user_02,2,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U02-R3,C01,test_user_02,3,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U03-R1,C01,test_user_03,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U03-R2,C01,test_user_03,2,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U03-R3,C01,test_user_03,3,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U04-R1,C01,test_user_04,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U04-R2,C01,test_user_04,2,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U04-R3,C01,test_user_04,3,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U05-R1,C01,test_user_05,1,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U05-R2,C01,test_user_05,2,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S01-U05-R3,C01,test_user_05,3,1,1,1,0,LOW,1,Synthetic controlled scenario; no real user data.
S02-U01-R1,C02,test_user_01,1,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U01-R2,C02,test_user_01,2,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U01-R3,C02,test_user_01,3,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U02-R1,C02,test_user_02,1,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U02-R2,C02,test_user_02,2,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U02-R3,C02,test_user_02,3,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U03-R1,C02,test_user_03,1,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U03-R2,C02,test_user_03,2,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U03-R3,C02,test_user_03,3,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
S02-U04-R1,C02,test_user_04,1,0,1,1,1,LOW,1,Synthetic controlled scenario; no real user data.
