scenario_id,expected_risk,static_step_up,adaptive_step_up,static_decision_latency_ms,adaptive_decision_latency_ms,notes
S01-U01-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U01-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U01-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U02-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U02-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U02-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U03-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U03-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U03-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U04-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U04-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U04-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U05-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U05-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S01-U05-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U01-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U01-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U01-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U02-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U02-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U02-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U03-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U03-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U03-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U04-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U04-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U04-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U05-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U05-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S02-U05-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U01-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U01-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U01-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U02-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U02-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U02-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U03-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U03-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U03-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U04-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U04-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U04-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U05-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U05-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S03-U05-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U01-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U01-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U01-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U02-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U02-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U02-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U03-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U03-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U03-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U04-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U04-R2,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U04-R3,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
S04-U05-R1,LOW,,,,,TO BE COMPLETED DURING FINAL CONTROLLED EVALUATION
